ProductName;ActiveSubstance;Mah;ProductStatus;PublicationDate;ProcedureType;AtcCode;Generic;Biosimilar;ConditionalApproval;ExceptionalCircumstances;Orphan;article58;WithdrawnProcedure;ProcedureNumber;numberOfDocuments
Dexamethasone Taw (WD);DEXAMETHASONE PHOSPHATE;Taw Pharma (Ireland) Ltd;Withdrawn;19/03/2021;Initial marketing authorisation;H02AB02;No;No;No;No;No;No;Yes;EMEA/H/C/005740/0000;2
COMIRNATY;COVID-19 mRNA vaccine (nucleoside-modified);BioNTech Manufacturing GmbH;Authorised;11/03/2021;Initial marketing authorisation;J07BX03;No;No;Yes;No;No;No;No;EMEA/H/C/005735/0000;18
COVID-19 Vaccine Moderna;COVID-19 mRNA vaccine (nucleoside-modified);Moderna Biotech Spain  S.L.;Authorised;02/03/2021;Initial marketing authorisation;J07BX03;No;No;Yes;No;No;No;No;EMEA/H/C/005791/0000;26
Veklury;REMDESIVIR;Gilead Sciences Ireland UC;Authorised;25/02/2021;Extension of indication;J05AB16;No;No;No;No;No;No;No;EMEA/H/C/005622/0000/II/0012;3
Veklury;REMDESIVIR;Gilead Sciences Ireland UC;Authorised;30/10/2020;Initial marketing authorisation;N/A;No;No;Yes;No;No;No;No;EMEA/H/C/005622/0000;64
Inovelon;RUFINAMIDE;Eisai GmbH;Authorised;04/12/2018;Extension of indication;N03AF03;No;No;No;No;Yes;No;No;EMEA/H/C/000660/II/0037;21
Ameluz;5-AMINOLEVULINIC ACID;Biofrontera Bioscience GmbH;Authorised;12/11/2018;Extension of indication;L01XD04;No;No;No;No;No;No;No;EMEA/H/C/002204/II/0020;25
Truxima;RITUXIMAB;Celltrion Healthcare Hungary Kft.;Authorised;09/11/2018;Initial marketing authorisation;L01XC02;No;Yes;No;No;No;No;No;EMEA/H/C/004112/0000;32
Alecensa;ALECTINIB;Roche Registration GmbH;Authorised;17/10/2018;Initial marketing authorisation;L01XE36;No;No;No;No;No;No;No;EMEA/H/C/004164/0000;44
Lucentis;RANIBIZUMAB;Novartis Europharm Limited;Authorised;09/10/2018;Extension of indication;S01LA04;No;No;No;No;No;No;No;EMEA/H/C/000715/II/0061;14
Movymia;TERIPARATIDE;STADA Arzneimittel AG;Authorised;02/10/2018;Initial marketing authorisation;H05AA02;No;Yes;No;No;No;No;No;EMEA/H/C/004368/0000;6
Terrosa;TERIPARATIDE;Gedeon Richter Plc.;Authorised;02/10/2018;Initial marketing authorisation;H05AA02;No;Yes;No;No;No;No;No;EMEA/H/C/003916/0000;6
Jardiance;EMPAGLIFLOZIN;Boehringer Ingelheim International GmbH;Authorised;01/10/2018;Extension of indication;A10BK03;No;No;No;No;No;No;No;EMEA/H/C/002677/II/0014;16
LEDAGA;CHLORMETHINE;Actelion Registration Limited;Authorised;28/09/2018;Initial marketing authorisation;L01AA05;No;No;No;No;Yes;No;No;EMEA/H/C/002826/0000;22
Ivabradine Accord;IVABRADINE;Accord Healthcare Limited;Authorised;27/09/2018;Initial marketing authorisation;C01EB17;Yes;No;No;No;No;No;No;EMEA/H/C/004241/0000;4
Pregabalin Zentiva k.s.;PREGABALIN;Zentiva k.s.;Authorised;18/09/2018;Initial marketing authorisation;N03AX16;Yes;No;No;No;No;No;No;EMEA/H/C/004277/0000;4
Kepnetic (WD);ACENEURAMIC ACID;Ultragenyx UK Limited;Withdrawn;18/09/2018;Initial marketing authorisation;M09AX;No;No;No;No;No;No;Yes;EMEA/H/C/004176/0000;33
Keytruda;PEMBROLIZUMAB;Merck Sharp & Dohme B.V.;Authorised;14/09/2018;Extension of indication;L01XC18;No;No;No;No;No;No;No;EMEA/H/C/003820/II/0011;15
Darunavir Mylan;DARUNAVIR;Mylan S.A.S;Authorised;13/09/2018;Initial marketing authorisation;J05AE10;Yes;No;No;No;No;No;No;EMEA/H/C/004068/0000;21
Humira;ADALIMUMAB;AbbVie Deutschland GmbH & Co. KG;Authorised;13/09/2018;Extension of indication;L04AB04;No;No;No;No;No;No;No;EMEA/H/C/000481/II/0154;13
